Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Possibly	Possible	From	Tags
3250	Spectrogram 1	1	200_2014-07-04_16-00-00.wav	200_2014-07-04_16-00-00.wav	380989.488008273	380991.144008273	3340207	3341863	2014/7/4  16:55:40.488	1.656	16.7	29.8	1.1	17.6	28.3		fm		Unidentified.calls
3251	Spectrogram 1	1	200_2014-07-04_16-00-00.wav	200_2014-07-04_16-00-00.wav	380999.70200437	381000.53000437	3350421	3351249	2014/7/4  16:55:50.702	0.828	16.7	28.9	0.8	17.6	26.4		fm		Unidentified.calls
3252	Spectrogram 1	1	200_2014-07-06_17-00-00.wav	200_2014-07-06_17-00-00.wav	381263.279995291	381264.107995291	13441	14269	2014/7/6  17:00:13.280	0.828	21.5	60.8	0.6	24.4	48.8	fm			Unidentified.calls
3253	Spectrogram 1	1	200_2014-07-06_17-00-00.wav	200_2014-07-06_17-00-00.wav	381356.120992421	381381.794992421	106282	131956	2014/7/6  17:01:46.121	25.674	107.9	120.0	23.3	108.4	119.1	Minke like			Unidentified.calls
3254	Spectrogram 1	1	200_2014-07-06_17-00-00.wav	200_2014-07-06_17-00-00.wav	382640.653001114	382642.310001114	1390814	1392471	2014/7/6  17:23:10.653	1.657	12.8	44.2	1.2	14.6	35.2	fm			Unidentified.calls
3255	Spectrogram 1	1	200_2014-07-08_08-00-00.wav	200_2014-07-08_08-00-00.wav	385832.198997126	385833.486997126	981802	983090	2014/7/8  8:16:21.199	1.288	17.9	28.3	1.1	18.6	26.4		fm		Unidentified.calls
3256	Spectrogram 1	1	200_2014-07-08_08-00-00.wav	200_2014-07-08_08-00-00.wav	385836.535998345	385853.284998345	986139	1002888	2014/7/8  8:16:26.536	16.749	107.1	116.6	13.1	107.4	116.2		Minke like		Unidentified.calls
3257	Spectrogram 1	1	200_2014-07-08_08-00-00.wav	200_2014-07-08_08-00-00.wav	387201.426995829	387202.622995829	2351030	2352226	2014/7/8  8:39:11.427	1.196	43.9	76.7	1.1	43.9	73.2		fm		Unidentified.calls
3258	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388472.38600256	388473.76700256	21410	22791	2014/7/10  9:00:21.386	1.381	23.8	44.5	0.6	25.4	40.0	fm			Unidentified.calls
3259	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388491.802996416	388492.630996416	40827	41655	2014/7/10  9:00:40.803	0.828	68.0	92.4	0.8	70.3	89.8	fm			Unidentified.calls
3260	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388506.159003843	388507.723003843	55183	56747	2014/7/10  9:00:55.159	1.564	57.3	89.5	0.6	61.5	83.0	fm			Unidentified.calls
3261	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388575.416996722	388576.612996722	124441	125637	2014/7/10  9:02:04.417	1.196	84.6	107.0	0.6	86.9	104.5	fm			Unidentified.calls
3262	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388719.398000111	388720.594000111	268422	269618	2014/7/10  9:04:28.398	1.196	34.0	54.9	0.6	36.1	49.8	fm			Unidentified.calls
3263	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388770.194998775	388771.298998775	319219	320323	2014/7/10  9:05:19.195	1.104	82.0	104.9	0.6	84.0	102.5	fm			Unidentified.calls
3264	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388843.17099603	388844.18299603	392195	393207	2014/7/10  9:06:32.171	1.012	39.5	62.5	0.6	41.0	58.6	fm			Unidentified.calls
3265	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388878.139997665	388879.519997665	427164	428544	2014/7/10  9:07:07.140	1.38	77.3	107.8	0.6	81.1	104.5	fm			Unidentified.calls
3266	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388951.326001827	388975.620001827	500350	524644	2014/7/10  9:08:20.326	24.294	101.7	115.6	23.1	103.5	115.2	Minke like			Unidentified.calls
3267	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	389009.642995913	389010.562995913	558667	559587	2014/7/10  9:09:18.643	0.92	77.3	104.9	0.6	81.1	101.6	fm			Unidentified.calls
3268	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	389067.765995879	389069.145995879	616790	618170	2014/7/10  9:10:16.766	1.38	76.5	106.1	0.8	79.1	102.5	fm			Unidentified.calls
3269	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	389162.514999156	389163.710999156	711539	712735	2014/7/10  9:11:51.515	1.196	74.7	103.2	0.8	77.1	99.6	fm			Unidentified.calls
3270	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	390639.397996311	390640.317996311	2188422	2189342	2014/7/10  9:36:28.398	0.92	23.8	44.5	0.6	24.4	38.1	fm			Unidentified.calls
3271	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	390868.833002095	390869.662002095	2417857	2418686	2014/7/10  9:40:17.833	0.829	40.4	68.3	0.8	42.0	63.5	fm			Unidentified.calls
3272	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	390879.6919957	390880.1519957	2428716	2429176	2014/7/10  9:40:28.692	0.46	62.2	87.8	0.3	64.5	83.0	fm			Unidentified.calls
3273	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	390891.654996593	390893.126996593	2440679	2442151	2014/7/10  9:40:40.655	1.472	61.3	80.2	1.1	62.5	79.1	fm			Unidentified.calls
3274	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	391209.250004981	391210.263004981	2758274	2759287	2014/7/10  9:45:58.250	1.013	68.0	89.2	0.5	71.3	85.9	fm			Unidentified.calls
3275	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	391327.280998249	391328.936998249	2876305	2877961	2014/7/10  9:47:56.281	1.656	71.2	89.0	1.1	72.3	86.9	fm			Unidentified.calls
3276	Spectrogram 1	1	200_2014-07-12_00-00-00.wav	200_2014-07-12_00-00-00.wav	392304.016004092	392336.776004092	252482	285242	2014/7/12  0:04:12.016	32.76	94.8	118.5	29.0	96.7	118.2		Minke like		Unidentified.calls
3277	Spectrogram 1	1	200_2014-07-12_00-00-00.wav	200_2014-07-12_00-00-00.wav	395208.237004614	395209.710004614	3156703	3158176	2014/7/12  0:52:36.237	1.473	43.3	71.4	1.2	44.9	69.3		fm		Unidentified.calls
3278	Spectrogram 1	1	200_2014-07-15_15-00-00.wav	200_2014-07-15_15-00-00.wav	399332.447001441	399353.520001441	79733	100806	2014/7/15  15:01:19.447	21.073	111.9	118.7	17.7	112.3	118.2		Minke like		Unidentified.calls
3279	Spectrogram 1	1	200_2014-07-15_15-00-00.wav	200_2014-07-15_15-00-00.wav	399919.712001561	399920.816001561	666998	668102	2014/7/15  15:11:06.712	1.104	12.8	31.9	0.9	13.7	27.3		fm		Unidentified.calls
3280	Spectrogram 1	1	200_2014-07-15_15-00-00.wav	200_2014-07-15_15-00-00.wav	402163.683002545	402166.352002545	2910969	2913638	2014/7/15  15:48:30.683	2.669	15.0	34.6	2.3	15.6	32.2		fm		Unidentified.calls
3281	Spectrogram 1	1	200_2014-07-15_15-00-00.wav	200_2014-07-15_15-00-00.wav	402439.279003172	402441.488003172	3186565	3188774	2014/7/15  15:53:06.279	2.209	32.7	100.8	1.8	35.2	93.8		fm		Unidentified.calls
3282	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	403077.764003024	403078.316003024	224492	225044	2014/7/17  16:03:44.764	0.552	17.7	34.0	0.5	18.6	29.3	fm			Unidentified.calls
3283	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	403136.935005755	403137.763005755	283663	284491	2014/7/17  16:04:43.935	0.828	32.3	66.3	0.8	35.2	61.5	fm			Unidentified.calls
3284	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	403550.395999894	403551.315999894	697124	698044	2014/7/17  16:11:37.396	0.92	31.1	46.2	0.8	31.2	44.9	fm			Unidentified.calls
3285	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	403588.573000625	403589.677000625	735301	736405	2014/7/17  16:12:15.573	1.104	32.3	62.5	0.9	33.2	59.6	fm			Unidentified.calls
3286	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	404905.648003191	404907.397003191	2052376	2054125	2014/7/17  16:34:12.648	1.749	36.3	57.6	1.4	37.1	53.7	fm			Unidentified.calls
3287	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	404910.617006615	404912.366006615	2057345	2059094	2014/7/17  16:34:17.617	1.749	35.2	59.0	1.4	37.1	53.7	fm			Unidentified.calls
3288	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	405467.378008038	405468.666008038	2614106	2615394	2014/7/17  16:43:34.378	1.288	73.5	108.1	1.2	77.1	105.5	fm			Unidentified.calls
3289	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	405475.647999392	405476.843999392	2622376	2623572	2014/7/17  16:43:42.648	1.196	82.0	113.7	1.1	85.0	111.3	fm			Unidentified.calls
3290	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	405482.181005598	405483.286005598	2628909	2630014	2014/7/17  16:43:48.181	1.105	82.0	115.4	1.1	84.0	114.3	fm			Unidentified.calls
3291	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	405910.50000605	405911.42100605	3057228	3058149	2014/7/17  16:50:57.500	0.921	62.2	99.1	0.8	63.5	95.7	fm			Unidentified.calls
3292	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	405911.604999051	405912.892999051	3058333	3059621	2014/7/17  16:50:58.605	1.288	66.9	99.7	1.1	68.4	97.7	fm			Unidentified.calls
3293	Spectrogram 1	1	200_2014-07-17_16-00-00.wav	200_2014-07-17_16-00-00.wav	406199.164000571	406199.992000571	3345892	3346720	2014/7/17  16:55:45.164	0.828	36.9	64.2	0.6	38.1	61.5	fm			Unidentified.calls
3294	Spectrogram 1	1	200_2014-07-19_07-00-00.wav	200_2014-07-19_07-00-00.wav	406799.628003674	406800.272003674	345798	346442	2014/7/19  7:05:45.628	0.644	45.5	66.7	0.5	46.9	64.5		fm		Unidentified.calls
3295	Spectrogram 1	1	200_2014-07-19_07-00-00.wav	200_2014-07-19_07-00-00.wav	407399.167006823	407400.915006823	945337	947085	2014/7/19  7:15:45.167	1.748	13.9	30.2	1.4	16.6	27.3		fm		Unidentified.calls
3296	Spectrogram 1	1	200_2014-07-19_07-00-00.wav	200_2014-07-19_07-00-00.wav	407792.332999396	407793.437999396	1338503	1339608	2014/7/19  7:22:18.333	1.105	35.1	62.1	0.9	35.2	58.6		fm		Unidentified.calls
3297	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	410062.196003483	410099.465003483	7851	45120	2014/7/21  7:00:07.196	37.269	95.8	115.3	31.0	97.7	115.2	Minke like			Unidentified.calls
3298	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	410226.634007158	410228.107007158	172289	173762	2014/7/21  7:02:52.634	1.473	30.2	53.2	1.2	32.2	48.8	fm			Unidentified.calls
3299	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	410497.353007482	410498.917007482	443008	444572	2014/7/21  7:07:23.353	1.564	90.7	107.3	1.2	92.8	105.5	fm			Unidentified.calls
3300	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	410506.739005657	410507.752005657	452394	453407	2014/7/21  7:07:32.739	1.013	92.2	107.0	0.9	93.8	105.5	fm			Unidentified.calls
3301	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	410527.813001187	410528.825001187	473468	474480	2014/7/21  7:07:53.813	1.012	93.3	106.7	0.8	93.8	104.5	fm			Unidentified.calls
3302	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	410544.181007357	410545.101007357	489836	490756	2014/7/21  7:08:09.181	0.92	91.6	107.3	0.8	91.8	106.4	fm			Unidentified.calls
3303	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	411194.659001963	411195.948001963	1140314	1141603	2014/7/21  7:19:00.659	1.289	39.0	62.2	1.2	40.0	59.6	fm			Unidentified.calls
3304	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	411199.721004279	411200.641004279	1145376	1146296	2014/7/21  7:19:05.721	0.92	40.7	70.3	0.8	43.0	68.4	fm			Unidentified.calls
3305	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	411485.934006261	411486.947006261	1431589	1432602	2014/7/21  7:23:51.934	1.013	86.0	111.6	0.8	89.8	110.4	fm			Unidentified.calls
3306	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413192.475001352	413193.395001352	3138130	3139050	2014/7/21  7:52:18.475	0.92	95.3	110.8	0.8	96.7	109.4	fm			Unidentified.calls
3307	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413195.052004071	413195.972004071	3140707	3141627	2014/7/21  7:52:20.052	0.92	95.9	112.2	0.5	98.6	109.4	fm			Unidentified.calls
3308	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413203.978006752	413205.174006752	3149633	3150829	2014/7/21  7:52:29.978	1.196	95.6	114.2	0.9	96.7	112.3	fm			Unidentified.calls
3309	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413214.272006439	413215.008006439	3159927	3160663	2014/7/21  7:52:39.272	0.736	92.7	112.5	0.6	93.8	110.4	fm			Unidentified.calls
3310	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413226.235007332	413227.247007332	3171890	3172902	2014/7/21  7:52:51.235	1.012	96.8	113.1	0.9	97.7	112.3	fm			Unidentified.calls
3311	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413240.603004234	413241.063004234	3186258	3186718	2014/7/21  7:53:06.603	0.46	95.1	111.9	0.3	96.7	110.4	fm			Unidentified.calls
3312	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413400.469004946	413402.309004946	3346124	3347964	2014/7/21  7:55:46.469	1.84	36.0	59.0	1.4	38.1	55.7	fm			Unidentified.calls
3313	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413404.518007325	413405.990007325	3350173	3351645	2014/7/21  7:55:50.518	1.472	39.0	64.0	1.4	40.0	61.5	fm			Unidentified.calls
3314	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413616.653006362	413617.757006362	3562308	3563412	2014/7/21  7:59:22.653	1.104	95.3	116.3	0.8	98.6	114.3	fm			Unidentified.calls
3315	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413621.242007823	413621.794007824	3566897	3567449	2014/7/21  7:59:26.242	0.552	95.1	121.2	0.5	99.6	120.1	fm			Unidentified.calls
3316	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413622.634003894	413624.015003894	3568289	3569670	2014/7/21  7:59:28.634	1.381	98.3	121.2	1.1	100.6	119.1	fm			Unidentified.calls
3317	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413625.487005921	413627.512005921	3571142	3573167	2014/7/21  7:59:31.487	2.025	97.1	119.2	1.4	100.6	119.1	fm			Unidentified.calls
3318	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413628.983999627	413629.995999627	3574639	3575651	2014/7/21  7:59:34.984	1.012	96.8	120.1	0.6	100.6	116.2	fm			Unidentified.calls
3319	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413632.021007897	413632.941007897	3577676	3578596	2014/7/21  7:59:37.021	0.92	97.4	118.0	0.5	102.5	116.2	fm			Unidentified.calls
3320	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413643.616006361	413645.272006361	3589271	3590927	2014/7/21  7:59:49.616	1.656	98.8	120.3	0.9	103.5	118.2	fm			Unidentified.calls
3321	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413646.744001867	413648.769001867	3592399	3594424	2014/7/21  7:59:52.744	2.025	97.4	119.5	1.2	100.6	118.2	fm			Unidentified.calls
3322	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	413649.781000079	413651.254000079	3595436	3596909	2014/7/21  7:59:55.781	1.473	99.1	119.2	0.9	100.6	118.2	fm			Unidentified.calls
3323	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	413670.153007809	413671.533007809	15250	16630	2014/7/22  22:00:15.153	1.38	33.5	54.2	1.1	35.2	52.7		fm		Unidentified.calls
3324	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	413695.814998973	413696.918998973	40912	42016	2014/7/22  22:00:40.815	1.104	34.9	68.9	0.9	35.2	64.5		fm		Unidentified.calls
3325	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	413765.12000427	413766.50100427	110217	111598	2014/7/22  22:01:50.120	1.381	33.2	58.0	1.1	35.2	54.7		fm		Unidentified.calls
3326	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	413885.232006166	413889.281006166	230329	234378	2014/7/22  22:03:50.232	4.049	27.0	45.5	3.4	27.3	43.0		fm		Unidentified.calls
3327	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	413925.354007411	413926.551007411	270451	271648	2014/7/22  22:04:30.354	1.197	48.7	70.5	1.1	49.8	68.4		fm		Unidentified.calls
3328	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	413930.415999669	413931.611999669	275513	276709	2014/7/22  22:04:35.416	1.196	34.0	51.5	1.1	34.2	48.8		fm		Unidentified.calls
3329	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	413934.281005863	413935.385005863	279378	280482	2014/7/22  22:04:39.281	1.104	43.3	60.5	0.9	43.9	58.6		fm		Unidentified.calls
3330	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	413954.789001647	413955.894001647	299886	300991	2014/7/22  22:04:59.789	1.105	74.9	96.4	0.6	77.1	94.7		fm		Unidentified.calls
3331	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	414005.471003953	414006.484003953	350568	351581	2014/7/22  22:05:50.471	1.013	65.4	86.3	0.8	66.4	84.0		fm		Unidentified.calls
3332	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	414145.218998719	414146.691998719	490316	491789	2014/7/22  22:08:10.219	1.473	41.1	69.2	1.2	42.0	66.4		fm		Unidentified.calls
3333	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	414213.92599881	414215.58199881	559023	560679	2014/7/22  22:09:19.926	1.656	37.0	61.5	1.4	37.1	58.6		fm		Unidentified.calls
3334	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	414313.126003895	414315.059003895	658223	660156	2014/7/22  22:10:58.126	1.933	43.6	61.8	1.7	43.9	59.6		fm		Unidentified.calls
3335	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	414751.349004138	414753.005004138	1096446	1098102	2014/7/22  22:18:16.349	1.656	47.4	67.5	1.5	48.8	65.4		fm		Unidentified.calls
3336	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	414754.649006355	414755.846006355	1099746	1100943	2014/7/22  22:18:19.649	1.197	16.3	25.6	1.1	16.6	24.4		fm		Unidentified.calls
3337	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	414755.950005132	414756.594005132	1101047	1101691	2014/7/22  22:18:21.950	0.644	15.8	27.2	0.5	16.6	26.4		fm		Unidentified.calls
3338	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	414787.238006819	414788.342006819	1132335	1133439	2014/7/22  22:18:52.238	1.104	44.9	62.1	0.9	44.9	59.6		fm		Unidentified.calls
3339	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	415103.588000837	415105.336000837	1448685	1450433	2014/7/22  22:24:08.588	1.748	10.9	23.4	1.1	12.7	21.5		fm		Unidentified.calls
3340	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	415526.568999666	415527.857999666	1871666	1872955	2014/7/22  22:31:11.569	1.289	59.4	86.3	1.1	60.5	81.1		fm		Unidentified.calls
3341	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	415561.918003264	415577.286003264	1907015	1922383	2014/7/22  22:31:47.918	15.368	100.8	115.5	13.1	102.5	114.3		Minke like		Unidentified.calls
3342	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	416530.237001706	416531.985001706	2875334	2877082	2014/7/22  22:47:55.237	1.748	29.4	55.8	1.1	31.2	52.7		fm		Unidentified.calls
3343	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	416627.010003257	416628.206003257	2972107	2973303	2014/7/22  22:49:32.010	1.196	68.9	94.0	0.9	71.3	92.8		fm		Unidentified.calls
3344	Spectrogram 1	1	200_2014-07-22_22-00-00.wav	200_2014-07-22_22-00-00.wav	416629.666999507	416630.678999507	2974764	2975776	2014/7/22  22:49:34.667	1.012	68.9	90.1	0.8	69.3	88.9		fm		Unidentified.calls
3345	Spectrogram 1	1	200_2014-07-24_23-00-00.wav	200_2014-07-24_23-00-00.wav	418148.574994971	418184.463994971	893114	929003	2014/7/24  23:14:53.575	35.889	107.3	118.8	32.8	107.4	118.2	Minke like			Unidentified.calls
3346	Spectrogram 1	1	200_2014-07-24_23-00-00.wav	200_2014-07-24_23-00-00.wav	419413.069001307	419417.302001307	2157608	2161841	2014/7/24  23:35:57.069	4.233	106.4	111.6	3.1	107.4	110.4	tonal high			Unidentified.calls
3347	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	420877.288999611	420878.669999611	21249	22630	2014/7/26  14:00:21.289	1.381	34.6	53.1	0.9	35.2	48.8		fm		Unidentified.calls
3348	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	420910.233992913	420911.153992913	54194	55114	2014/7/26  14:00:54.234	0.92	71.4	87.4	0.5	72.3	85.9		fm		Unidentified.calls
3349	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	420911.981991881	420913.362991881	55942	57323	2014/7/26  14:00:55.982	1.381	73.8	97.5	0.9	75.2	95.7		fm		Unidentified.calls
3350	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	420937.116999382	420938.864999382	81077	82825	2014/7/26  14:01:21.117	1.748	29.4	60.7	1.5	30.3	56.6		fm		Unidentified.calls
3351	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	421042.674996534	421044.790996534	186635	188751	2014/7/26  14:03:06.675	2.116	34.0	59.1	1.2	35.2	55.7		fm		Unidentified.calls
3352	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	421294.637993181	421296.569993181	438598	440530	2014/7/26  14:07:18.638	1.932	30.2	48.2	1.4	30.3	47.9		fm		Unidentified.calls
3353	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	421297.398992085	421298.686992085	441359	442647	2014/7/26  14:07:21.399	1.288	30.5	47.9	0.9	31.2	46.9		fm		Unidentified.calls
3354	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	421299.159000644	421300.908000644	443119	444868	2014/7/26  14:07:23.159	1.749	29.4	44.7	1.5	30.3	43.0		fm		Unidentified.calls
3355	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	421366.5649919	421368.0369919	510525	511997	2014/7/26  14:08:30.565	1.472	74.9	90.7	0.9	75.2	88.9		fm		Unidentified.calls
3356	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	421391.962993348	421393.711993348	535923	537672	2014/7/26  14:08:55.963	1.749	63.5	98.3	1.4	66.4	96.7		fm		Unidentified.calls
3357	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	422057.446991855	422074.931991855	1201407	1218892	2014/7/26  14:20:01.447	17.485	109.7	117.1	14.6	110.4	116.2		Minke like		Unidentified.calls
3358	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	422169.956993142	422171.796993142	1313917	1315757	2014/7/26  14:21:53.957	1.84	39.8	68.1	1.1	42.0	63.5		fm		Unidentified.calls
3359	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	422190.937999839	422192.409999839	1334898	1336370	2014/7/26  14:22:14.938	1.472	40.3	69.4	1.1	42.0	64.5		fm		Unidentified.calls
3360	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	423063.000992516	423064.012992516	2206961	2207973	2014/7/26  14:36:46.001	1.012	33.2	63.7	0.6	35.2	60.5		fm		Unidentified.calls
3361	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	423095.576997676	423096.772997676	2239537	2240733	2014/7/26  14:37:19.577	1.196	41.7	59.6	0.8	42.0	57.6		fm		Unidentified.calls
3362	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	423096.588991785	423099.993991785	2240549	2243954	2014/7/26  14:37:20.589	3.405	36.8	51.5	2.9	37.1	50.8		fm		Unidentified.calls
