Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Tags
157	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	330541.173415558	330693.144389969	2891408	3043379	2015/7/21  3:48:11.173	151.971	108.5	136.1	MinkeDS
158	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	329029.787535312	329094.024461617	1380023	1444259	2015/7/21  3:23:00.788	64.237	99.3	124.2	MinkeDS
159	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	337823.036078813	337913.188858751	2972155	3062308	2015/7/24  16:49:32.036	90.153	98.6	122.7	MinkeDS
160	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	337075.547678608	337180.845551689	2224667	2329965	2015/7/24  16:37:04.548	105.298	104.9	122.3	MinkeDS
161	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	336835.597008188	336932.136633572	1984716	2081256	2015/7/24  16:33:04.597	96.54	107.2	124.6	MinkeDS
162	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	337280.002227226	337362.908394063	2429121	2512027	2015/7/24  16:40:29.002	82.906	107.9	123.1	MinkeDS
163	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	338006.89295087	338118.294274309	3156012	3267413	2015/7/24  16:52:36.893	111.401	100.5	121.5	MinkeDS
164	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	336288.84169089	336399.113433982	1437961	1548232	2015/7/24  16:23:57.842	110.272	100.8	123.9	MinkeDS
165	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	335957.914220061	336036.030252815	1107033	1185149	2015/7/24  16:18:27.914	78.116	93.9	123.9	MinkeDS
166	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	337563.752718526	337655.379385875	2712872	2804498	2015/7/24  16:45:12.753	91.627	108.3	124.2	MinkeDS
167	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	335395.560261003	335441.496418628	544679	590615	2015/7/24  16:09:04.560	45.936	96.2	124.6	MinkeDS
168	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	336584.665676561	336677.152111566	1733785	1826271	2015/7/24  16:28:53.666	92.486	100.4	123.1	MinkeDS
169	Spectrogram 1	1	20150724_160000.wav	20150724_160000.wav	338280.84169089	338380.329091095	3429961	3529448	2015/7/24  16:57:09.842	99.487	105.1	123.1	MinkeDS
170	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	339888.682119754	339960.902602866	1437243	1509464	2015/7/26  10:23:57.682	72.22	109.9	143.0	MinkeDS
171	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	338929.087338792	339117.29137871	477648	665852	2015/7/26  10:07:57.087	188.204	112.2	122.7	MinkeDS
172	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	339570.577669396	339657.045730809	1119139	1205607	2015/7/26  10:18:39.578	86.468	104.1	130.1	MinkeDS
173	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	341413.578634596	341461.848447288	2962140	3010409	2015/7/26  10:49:22.579	48.27	104.3	122.7	MinkeDS
174	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	340981.210162743	341066.818456499	2529771	2615379	2015/7/26  10:42:09.210	85.608	103.2	123.1	MinkeDS
175	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	338727.826212897	338785.430645855	276387	333992	2015/7/26  10:04:36.826	57.604	103.0	121.3	MinkeDS
176	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	339458.401655067	339568.451915046	1006963	1117013	2015/7/26  10:16:46.402	110.05	103.0	128.6	MinkeDS
177	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	341093.754648925	341185.995436029	2642316	2734556	2015/7/26  10:44:02.755	92.241	106.9	123.5	MinkeDS
178	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	339673.54188741	339875.747857728	1222103	1424309	2015/7/26  10:20:22.542	202.206	109.9	135.5	MinkeDS
179	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	339139.437437052	339294.724658137	687998	843286	2015/7/26  10:11:27.437	155.287	106.2	123.9	MinkeDS
180	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	341318.229501535	341395.485766633	2866791	2944047	2015/7/26  10:47:46.230	77.256	107.7	122.7	MinkeDS
181	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	338494.999331627	338679.887124872	43560	228448	2015/7/26  10:00:43.999	184.888	103.4	122.9	MinkeDS
182	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	340550.806874104	340760.750753327	2099368	2309312	2015/7/26  10:34:59.807	209.944	98.6	124.2	MinkeDS
183	Spectrogram 1	1	20150726_100000.wav	20150726_100000.wav	340428.804943705	340529.274935517	1977366	2077836	2015/7/26  10:32:57.805	100.47	111.2	133.4	MinkeDS
184	Spectrogram 1	1	20150728_050000.wav	20150728_050000.wav	345021.709790174	345087.911899693	2969734	3035936	2015/7/28  5:49:29.710	66.202	104.8	133.8	MinkeDS
185	Spectrogram 1	1	20150728_050000.wav	20150728_050000.wav	345432.215598772	345501.979602866	3380240	3450004	2015/7/28  5:56:20.216	69.764	112.4	123.9	MinkeDS
186	Spectrogram 1	1	20150728_050000.wav	20150728_050000.wav	344676.092774821	344731.486376663	2624117	2679510	2015/7/28  5:43:44.093	55.394	107.5	124.3	MinkeDS
187	Spectrogram 1	1	20150728_050000.wav	20150728_050000.wav	344418.725268168	344459.134348004	2366749	2407158	2015/7/28  5:39:26.725	40.409	108.3	124.3	MinkeDS
188	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	347198.125761515	347271.697308086	1545613	1619184	2015/7/29  23:25:45.126	73.572	142.0	185.0	MinkeDS
189	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	345658.336655067	345758.438175026	5824	105925	2015/7/29  23:00:05.337	100.102	140.4	171.5	MinkeDS
190	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	348292.521679632	348346.932689867	2640009	2694420	2015/7/29  23:44:00.522	54.411	164.0	202.6	MinkeDS
191	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	346741.548388946	346812.172160696	1089035	1159659	2015/7/29  23:18:09.548	70.624	129.8	182.3	MinkeDS
192	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	346012.305699079	346066.10258956	359793	413590	2015/7/29  23:05:59.306	53.797	101.6	138.0	MinkeDS
193	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	346502.81337564	346563.856879222	850300	911344	2015/7/29  23:14:10.813	61.044	120.6	141.7	MinkeDS
194	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	347401.959959058	347471.846787103	1749447	1819334	2015/7/29  23:29:09.960	69.887	144.9	185.7	MinkeDS
195	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	346294.919756397	346360.999041965	642407	708486	2015/7/29  23:10:42.920	66.079	114.8	167.8	MinkeDS
196	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	345794.217691914	345857.717674514	141705	205205	2015/7/29  23:02:21.218	63.5	100.5	133.5	MinkeDS
197	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	345843.925324463	345913.320856704	191412	260808	2015/7/29  23:03:11.925	69.396	138.8	174.9	MinkeDS
198	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	346962.952642784	347023.627674514	1310440	1371115	2015/7/29  23:21:50.953	60.675	146.4	183.0	MinkeDS
199	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	346084.919818833	346134.295047083	432407	481782	2015/7/29  23:07:12.920	49.375	113.4	143.4	MinkeDS
200	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	347583.433846469	347674.446394063	1930921	2021933	2015/7/29  23:32:10.434	91.013	138.5	184.7	MinkeDS
201	Spectrogram 1	1	20150729_230000.wav	20150729_230000.wav	348461.566183214	348508.484932446	2809053	2855972	2015/7/29  23:46:49.566	46.919	107.4	169.5	MinkeDS
202	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	352712.135269191	352784.355752303	3459021	3531242	2015/7/31  17:57:39.135	72.22	96.4	149.0	MinkeDS
203	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	350019.71360696	350081.002758444	766600	827889	2015/7/31  17:12:46.714	61.289	107.6	132.0	MinkeDS
204	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	352374.010514841	352444.511462641	3120897	3191397	2015/7/31  17:52:00.011	70.501	94.9	139.9	MinkeDS
205	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	349669.907994882	349728.372195496	416794	475258	2015/7/31  17:06:56.908	58.464	102.3	132.4	MinkeDS
206	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	350988.23778915	351010.591748209	1735124	1757478	2015/7/31  17:28:55.238	22.354	92.0	130.5	MinkeDS
207	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	350675.41476868	350734.370265097	1422301	1481256	2015/7/31  17:23:42.415	58.955	99.2	133.5	MinkeDS
208	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	351296.958289662	351373.477611054	2043844	2120364	2015/7/31  17:34:03.958	76.519	94.6	133.5	MinkeDS
209	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	351512.835465711	351574.984384852	2259721	2321870	2015/7/31  17:37:39.835	62.149	105.7	132.8	MinkeDS
210	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	350497.466028659	350576.68747697	1244352	1323573	2015/7/31  17:20:44.466	79.221	94.6	133.5	MinkeDS
211	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	350373.572409417	350422.333517912	1120458	1169220	2015/7/31  17:18:40.572	48.761	98.8	132.0	MinkeDS
212	Spectrogram 1	1	20150731_170000.wav	20150731_170000.wav	351133.466028659	351203.475680655	1880352	1950362	2015/7/31  17:31:20.466	70.01	95.8	134.3	MinkeDS
213	Spectrogram 1	1	20150804_060000.wav	20150804_060000.wav	359084.491847492	359196.053742068	2630219	2741781	2015/8/4  6:43:50.492	111.562	102.9	140.6	MinkeDS
214	Spectrogram 1	1	20150804_060000.wav	20150804_060000.wav	359767.153366428	359879.537281474	3312880	3425264	2015/8/4  6:55:12.153	112.384	101.9	123.3	MinkeDS
215	Spectrogram 1	1	20150804_060000.wav	20150804_060000.wav	359284.279085977	359417.089524053	2830006	2962817	2015/8/4  6:47:10.279	132.81	106.5	124.2	MinkeDS
216	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	360065.802302968	360293.961874104	10971	239131	2015/8/6  1:00:10.802	228.16	108.2	123.7	MinkeDS
217	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	360785.556655067	361062.477334698	730726	1007646	2015/8/6  1:12:10.557	276.921	102.3	122.1	MinkeDS
218	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	361186.960908905	361590.919300921	1132130	1536088	2015/8/6  1:18:52.961	403.958	103.6	123.7	MinkeDS
219	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	363361.331311157	363438.219104401	3306500	3383388	2015/8/6  1:55:06.331	76.888	105.1	130.7	MinkeDS
220	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	362519.808094166	362664.163983623	2464977	2609333	2015/8/6  1:41:04.808	144.356	106.1	124.6	MinkeDS
221	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	363133.540211873	363268.684305015	3078709	3213853	2015/8/6  1:51:18.540	135.144	108.0	131.9	MinkeDS
222	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	360378.981212897	360735.775207779	324150	680944	2015/8/6  1:05:24.981	356.794	106.1	122.5	MinkeDS
223	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	362957.335171955	363122.079837257	2902504	3067249	2015/8/6  1:48:22.335	164.745	107.6	131.9	MinkeDS
224	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	362162.768451382	362453.32258956	2107937	2398492	2015/8/6  1:35:07.768	290.554	99.0	121.6	MinkeDS
225	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	363558.662070624	363653.236512794	3503831	3598406	2015/8/6  1:58:23.662	94.574	112.3	153.4	MinkeDS
226	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	361638.121445241	362052.888344933	1583290	1998057	2015/8/6  1:26:23.121	414.767	105.7	122.9	MinkeDS
227	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	362699.943500512	362909.641731832	2645113	2854811	2015/8/6  1:44:05.944	209.698	105.5	129.4	MinkeDS
228	Spectrogram 1	1	20150806_010000.wav	20150806_010000.wav	363437.188183214	363501.179461617	3382357	3446348	2015/8/6  1:56:22.188	63.991	115.2	147.9	MinkeDS
229	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	365553.559764586	365568.175814739	1898128	1912744	2015/8/7  19:31:38.560	14.616	87.9	121.4	MinkeDS
230	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	364817.174849539	364855.004626407	1161743	1199573	2015/8/7  19:19:21.175	37.83	96.4	123.7	MinkeDS
231	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	366246.894384852	366272.564590583	2591462	2617133	2015/8/7  19:43:11.894	25.67	90.9	118.5	MinkeDS
232	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	367062.083946776	367092.667110543	3406652	3437235	2015/8/7  19:56:46.084	30.583	102.9	128.5	MinkeDS
233	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	363958.125451382	363983.427185261	302693	327995	2015/8/7  19:05:02.125	25.302	90.1	122.2	MinkeDS
234	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	365186.252239509	365220.2744739	1530820	1564842	2015/8/7  19:25:30.252	34.022	98.2	123.0	MinkeDS
235	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	364563.529381781	364587.848524053	908097	932417	2015/8/7  19:15:08.529	24.319	113.1	141.5	MinkeDS
236	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	366907.975635619	366944.085877175	3252544	3288654	2015/8/7  19:54:12.976	36.11	98.1	134.1	MinkeDS
237	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	366107.57427738	366142.701927329	2452142	2487270	2015/8/7  19:40:52.574	35.128	91.7	122.1	MinkeDS
238	Spectrogram 1	1	20150807_190000.wav	20150807_190000.wav	364592.270186285	364633.047737973	936838	977616	2015/8/7  19:15:36.270	40.778	113.1	148.3	MinkeDS
239	Spectrogram 1	1	20150809_130000.wav	20150809_130000.wav	368118.587824974	368166.611989765	862598	910622	2015/8/9  13:14:22.588	48.024	108.5	133.7	MinkeDS
240	Spectrogram 1	1	20150809_130000.wav	20150809_130000.wav	368033.310255885	368100.126485159	777320	844136	2015/8/9  13:12:57.310	66.816	98.5	138.0	MinkeDS
241	Spectrogram 1	1	20150809_130000.wav	20150809_130000.wav	367670.252239509	367726.382785056	414262	470393	2015/8/9  13:06:54.252	56.131	111.3	134.9	MinkeDS
242	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	371585.071775844	371654.098836233	728524	797551	2015/8/11  8:12:08.072	69.027	98.8	138.2	MinkeDS
243	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	371736.686860798	371812.960534289	880139	956413	2015/8/11  8:14:40.687	76.274	103.1	138.6	MinkeDS
244	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	372127.404430911	372180.218729785	1270856	1323671	2015/8/11  8:21:10.404	52.814	103.5	137.3	MinkeDS
245	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	374236.198425793	374294.662626407	3379650	3438115	2015/8/11  8:56:19.198	58.464	111.3	123.3	MinkeDS
246	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	370998.484157625	371065.668858751	141936	209121	2015/8/11  8:02:21.484	67.185	98.0	133.1	MinkeDS
247	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	371675.139479017	371714.811615148	818591	858264	2015/8/11  8:13:38.139	39.672	121.5	139.5	MinkeDS
248	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	372523.355101331	372558.60557523	1666807	1702058	2015/8/11  8:27:46.355	35.25	90.8	129.3	MinkeDS
249	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	371318.812021494	371412.649519959	462264	556102	2015/8/11  8:07:42.812	93.837	102.0	134.5	MinkeDS
250	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	372328.788380757	372427.538837257	1472240	1570991	2015/8/11  8:24:32.788	98.75	91.5	138.6	MinkeDS
251	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	371902.388952917	371977.188738997	1045841	1120641	2015/8/11  8:17:25.389	74.8	105.7	136.9	MinkeDS
252	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	372593.10752303	372726.777728762	1736560	1870230	2015/8/11  8:28:56.108	133.67	101.5	128.9	MinkeDS
253	Spectrogram 1	1	20150811_080000.wav	20150811_080000.wav	371172.478366428	371219.274291709	315930	362726	2015/8/11  8:05:15.478	46.796	114.5	153.9	MinkeDS
254	Spectrogram 1	1	20150813_020000.wav	20150813_020000.wav	376208.142178096	376278.888773797	1751036	1821783	2015/8/13  2:29:11.142	70.747	93.8	123.8	MinkeDS
255	Spectrogram 1	1	20150813_020000.wav	20150813_020000.wav	376547.999050154	376630.659569089	2090893	2173554	2015/8/13  2:34:50.999	82.661	95.8	127.4	MinkeDS
256	Spectrogram 1	1	20150813_020000.wav	20150813_020000.wav	375353.477009212	375415.625928352	896371	958520	2015/8/13  2:14:56.477	62.149	99.5	122.4	MinkeDS
257	Spectrogram 1	1	20150813_020000.wav	20150813_020000.wav	376367.176029683	376442.344287615	1910070	1985238	2015/8/13  2:31:50.176	75.168	91.5	123.8	MinkeDS
258	Spectrogram 1	1	20150813_020000.wav	20150813_020000.wav	376759.945859775	376849.238872057	2302840	2392133	2015/8/13  2:38:22.946	89.293	91.9	132.6	MinkeDS
259	Spectrogram 1	1	20150813_020000.wav	20150813_020000.wav	377308.359317298	377397.529505629	2851253	2940424	2015/8/13  2:47:31.359	89.17	91.3	135.0	MinkeDS
260	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	379222.095748209	379288.66632958	1164907	1231477	2015/8/14  21:19:24.096	66.571	83.7	123.4	MinkeDS
261	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	381222.619930399	381285.382969294	3165431	3228194	2015/8/14  21:52:45.620	62.763	88.8	123.0	MinkeDS
262	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	381394.979680655	381433.546401228	3337791	3376357	2015/8/14  21:55:37.980	38.567	109.7	123.4	MinkeDS
263	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	380556.355908905	380742.71758956	2499167	2685529	2015/8/14  21:41:39.356	186.362	96.7	122.2	MinkeDS
264	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	379951.934246673	380174.283344933	1894745	2117094	2015/8/14  21:31:34.934	222.349	99.4	123.4	MinkeDS
265	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	380865.149903787	381080.609278403	2807961	3023420	2015/8/14  21:46:47.150	215.459	94.7	123.8	MinkeDS
266	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	380176.900395087	380415.745649949	2119711	2358557	2015/8/14  21:35:19.900	238.845	100.2	123.0	MinkeDS
267	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	379043.04159263	379124.596696008	985853	1067408	2015/8/14  21:16:25.042	81.555	93.6	122.2	MinkeDS
268	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	378059.250493347	378167.581218014	2061	110392	2015/8/14  21:00:02.250	108.331	162.1	206.1	MinkeDS
269	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	379772.412960082	379814.787223132	1715224	1757598	2015/8/14  21:28:35.413	42.374	115.2	138.0	MinkeDS
270	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	378671.102504606	378699.352013306	613914	642163	2015/8/14  21:10:13.103	28.25	101.8	123.0	MinkeDS
271	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	381467.287240532	381563.212746162	3410098	3506024	2015/8/14  21:56:50.287	95.926	105.0	123.8	MinkeDS
272	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	378920.179894575	378975.94196827	862991	918753	2015/8/14  21:14:22.180	55.762	107.7	123.8	MinkeDS
273	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	381331.602522006	381374.345256909	3274414	3317156	2015/8/14  21:54:34.603	42.743	100.2	124.2	MinkeDS
274	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	378527.360734903	378574.156660184	470172	516968	2015/8/14  21:07:50.361	46.796	97.5	123.0	MinkeDS
275	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	379569.923594678	379625.440020471	1512735	1568251	2015/8/14  21:25:12.924	55.516	92.4	122.2	MinkeDS
276	Spectrogram 1	1	20150814_210000.wav	20150814_210000.wav	378298.21857216	378417.51837564	241030	360329	2015/8/14  21:04:01.219	119.3	101.8	122.6	MinkeDS
277	Spectrogram 1	1	20150816_150000.wav	20150816_150000.wav	383095.921664278	383172.195337769	1438175	1514448	2015/8/16  15:23:58.922	76.274	100.2	123.0	MinkeDS
278	Spectrogram 1	1	20150816_150000.wav	20150816_150000.wav	382661.34236131	382712.068653019	1003595	1054322	2015/8/16  15:16:43.342	50.726	103.4	123.8	MinkeDS
279	Spectrogram 1	1	20150816_150000.wav	20150816_150000.wav	384719.115087001	384787.773675537	3061368	3130027	2015/8/16  15:51:01.115	68.659	98.0	124.8	MinkeDS
280	Spectrogram 1	1	20150816_150000.wav	20150816_150000.wav	382301.600591607	382346.922629478	643854	689176	2015/8/16  15:10:43.601	45.322	107.3	123.0	MinkeDS
281	Spectrogram 1	1	20150816_150000.wav	20150816_150000.wav	383274.460359263	383311.921664278	1616713	1654175	2015/8/16  15:26:56.460	37.461	99.4	123.8	MinkeDS
282	Spectrogram 1	1	20150820_040000.wav	20150820_040000.wav	390002.115707267	390056.895189355	1143274	1198053	2015/8/20  4:19:03.116	54.779	90.7	132.3	MinkeDS
283	Spectrogram 1	1	20150820_040000.wav	20150820_040000.wav	389318.005465711	389405.824590583	459163	546983	2015/8/20  4:07:39.005	87.819	106.1	131.9	MinkeDS
284	Spectrogram 1	1	20150820_040000.wav	20150820_040000.wav	390068.478387922	390147.822660184	1209636	1288981	2015/8/20  4:20:09.478	79.344	60.8	111.9	MinkeDS
285	Spectrogram 1	1	20150820_040000.wav	20150820_040000.wav	389975.585733879	390008.748200614	1116744	1149906	2015/8/20  4:18:36.586	33.162	90.7	117.3	MinkeDS
286	Spectrogram 1	1	20150820_040000.wav	20150820_040000.wav	388935.761748209	389003.68339304	76920	144841	2015/8/20  4:01:16.762	67.922	116.1	131.9	MinkeDS
287	Spectrogram 1	1	20150820_040000.wav	20150820_040000.wav	389119.569290686	389180.121498465	260727	321279	2015/8/20  4:04:20.569	60.552	112.8	131.4	MinkeDS
288	Spectrogram 1	1	20150820_040000.wav	20150820_040000.wav	390224.871024565	390343.679532242	1366029	1484838	2015/8/20  4:22:46.871	118.809	79.1	115.7	MinkeDS
289	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	394256.649127943	394321.500174002	1797249	1862100	2015/8/21  22:29:57.649	64.851	98.5	124.2	MinkeDS
290	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	394935.846411464	394989.643301945	2476446	2530243	2015/8/21  22:41:16.846	53.797	103.3	123.1	MinkeDS
291	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	394085.418958035	394139.952792221	1626019	1680553	2015/8/21  22:27:06.419	54.534	104.0	124.2	MinkeDS
292	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	393883.71552303	393961.46308393	1424316	1502063	2015/8/21  22:23:44.716	77.748	99.2	124.6	MinkeDS
293	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	393217.070889458	393334.282685773	757671	874883	2015/8/21  22:12:37.071	117.212	96.7	124.1	MinkeDS
294	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	392526.856197544	392632.361971341	67456	172962	2015/8/21  22:01:07.856	105.506	96.3	122.8	MinkeDS
295	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	393623.032211873	393695.375518936	1163632	1235976	2015/8/21  22:19:23.032	72.343	91.9	122.8	MinkeDS
296	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	392801.173409417	392862.462560901	341773	403063	2015/8/21  22:05:41.173	61.289	100.2	123.3	MinkeDS
297	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	392991.244973388	393068.746886387	531845	609347	2015/8/21  22:08:51.245	77.502	98.9	122.8	MinkeDS
298	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	393413.66470522	393507.256555783	954265	1047857	2015/8/21  22:15:54.665	93.592	95.8	123.3	MinkeDS
299	Spectrogram 1	1	20150821_220000.wav	20150821_220000.wav	394510.724552712	394565.135562948	2051325	2105736	2015/8/21  22:34:11.725	54.411	107.6	122.3	MinkeDS
300	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	396152.86991914	396208.631992835	92912	148674	2015/8/23  16:01:32.870	55.762	130.4	146.3	MinkeDS
301	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	399376.201783009	399457.388414534	3316244	3397430	2015/8/23  16:55:16.202	81.187	95.1	124.0	MinkeDS
302	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	398829.077993859	398953.659227226	2769120	2893701	2015/8/23  16:46:09.078	124.581	118.4	142.5	MinkeDS
303	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	396837.459874104	396927.858301945	777502	867900	2015/8/23  16:12:57.460	90.398	102.9	131.9	MinkeDS
304	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	398471.584201638	398526.769902764	2411626	2466812	2015/8/23  16:40:11.584	55.186	114.9	126.4	MinkeDS
305	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	396337.426987718	396367.150383828	277469	307192	2015/8/23  16:04:37.427	29.723	114.8	131.5	MinkeDS
306	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	397665.508776868	397742.273746162	1605551	1682316	2015/8/23  16:26:45.509	76.765	123.6	132.8	MinkeDS
307	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	397172.059769703	397238.507527124	1112102	1178550	2015/8/23  16:18:32.060	66.448	120.8	130.9	MinkeDS
308	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	396471.342841351	396505.365075742	411385	445407	2015/8/23  16:06:51.343	34.022	120.6	131.1	MinkeDS
309	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	399063.010290686	399185.871988741	3003052	3125914	2015/8/23  16:50:03.010	122.862	88.2	125.6	MinkeDS
310	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	398977.732721597	399013.106019447	2917775	2953148	2015/8/23  16:48:37.733	35.373	91.9	122.9	MinkeDS
311	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	396606.585593654	396731.903770727	546628	671946	2015/8/23  16:09:06.586	125.318	111.9	132.3	MinkeDS
312	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	397850.925613101	397915.531011259	1790968	1855573	2015/8/23  16:29:50.926	64.605	124.3	146.2	MinkeDS
313	Spectrogram 1	1	20150823_160000.wav	20150823_160000.wav	397425.435282497	397520.992316274	1365477	1461034	2015/8/23  16:22:45.435	95.557	118.2	132.8	MinkeDS
